referrer,views_total,views_unique
github.com,12,5
Google,10,8
statics.teams.cdn.office.net,3,2
adrian-lison.github.io,2,1
wise.ethz.ch,1,1
cdc.gov,1,1
teams.microsoft.com,1,1
