time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-31 00:00:00+00:00,16,6,1.0,1.0
2025-11-01 00:00:00+00:00,10,5,,
2025-11-02 00:00:00+00:00,8,3,3.0,3.0
2025-11-03 00:00:00+00:00,8,3,3.0,3.0
2025-11-04 00:00:00+00:00,13,4,1.0,1.0
2025-11-05 00:00:00+00:00,5,3,6.0,5.0
2025-11-06 00:00:00+00:00,3,3,7.0,4.0
2025-11-07 00:00:00+00:00,6,6,5.0,5.0
2025-11-08 00:00:00+00:00,4,3,1.0,1.0
2025-11-09 00:00:00+00:00,15,4,1.0,1.0
2025-11-10 00:00:00+00:00,9,5,5.0,3.0
2025-11-11 00:00:00+00:00,11,5,10.0,3.0
2025-11-12 00:00:00+00:00,11,5,12.0,6.0
2025-11-13 00:00:00+00:00,9,2,3.0,3.0
