time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-14 00:00:00+00:00,294,65,46,4
2026-07-15 00:00:00+00:00,28,8,11,5
2026-07-16 00:00:00+00:00,17,6,2,1
2026-07-17 00:00:00+00:00,12,7,3,2
2026-07-18 00:00:00+00:00,18,5,0,0
2026-07-19 00:00:00+00:00,16,6,3,2
2026-07-20 00:00:00+00:00,132,16,28,3
2026-07-21 00:00:00+00:00,27,9,4,3
2026-07-22 00:00:00+00:00,5,4,2,2
2026-07-23 00:00:00+00:00,2,2,4,4
2026-07-24 00:00:00+00:00,6,5,5,5
2026-07-25 00:00:00+00:00,8,3,1,1
2026-07-26 00:00:00+00:00,14,5,11,2
2026-07-27 00:00:00+00:00,6,6,3,2
