time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,5,3,2,2
2026-08-26 00:00:00+00:00,10,4,2,2
2026-08-27 00:00:00+00:00,2,2,21,7
2026-08-28 00:00:00+00:00,1,1,6,1
2026-08-29 00:00:00+00:00,2,2,1,1
2026-08-30 00:00:00+00:00,5,4,0,0
2026-08-31 00:00:00+00:00,3,2,15,5
2026-09-01 00:00:00+00:00,5,4,11,6
2026-09-02 00:00:00+00:00,11,6,7,5
2026-09-03 00:00:00+00:00,1,1,13,8
2026-09-04 00:00:00+00:00,6,4,11,5
2026-09-05 00:00:00+00:00,22,5,17,2
2026-09-06 00:00:00+00:00,3,2,2,1
2026-09-07 00:00:00+00:00,13,6,18,7
