time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,3,3,3.0,3.0
2025-11-27 00:00:00+00:00,2,2,3.0,2.0
2025-11-28 00:00:00+00:00,3,3,5.0,3.0
2025-11-29 00:00:00+00:00,2,2,2.0,2.0
2025-11-30 00:00:00+00:00,2,2,1.0,1.0
2025-12-01 00:00:00+00:00,53,12,4.0,4.0
2025-12-02 00:00:00+00:00,14,6,6.0,5.0
2025-12-03 00:00:00+00:00,104,23,5.0,3.0
2025-12-04 00:00:00+00:00,12,4,10.0,4.0
2025-12-05 00:00:00+00:00,11,7,5.0,5.0
2025-12-06 00:00:00+00:00,7,3,,
2025-12-07 00:00:00+00:00,7,3,2.0,1.0
2025-12-08 00:00:00+00:00,4,4,3.0,3.0
2025-12-09 00:00:00+00:00,7,4,6.0,6.0
