time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,38.0,16.0,17,6
2024-09-14 00:00:00+00:00,17.0,7.0,2,2
2024-09-15 00:00:00+00:00,14.0,6.0,3,2
2024-09-16 00:00:00+00:00,2.0,2.0,76,25
2024-09-17 00:00:00+00:00,,,25,13
2024-09-18 00:00:00+00:00,,,43,10
2024-09-19 00:00:00+00:00,,,41,6
2024-09-20 00:00:00+00:00,12.0,7.0,61,10
2024-09-21 00:00:00+00:00,1.0,1.0,2,2
2024-09-22 00:00:00+00:00,,,3,1
2024-09-23 00:00:00+00:00,5.0,3.0,2,2
2024-09-24 00:00:00+00:00,,,2,2
2024-09-25 00:00:00+00:00,1.0,1.0,2,2
2024-09-26 00:00:00+00:00,,,6,3
