time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,1,1,2.0,2.0
2025-06-27 00:00:00+00:00,1,1,9.0,5.0
2025-06-28 00:00:00+00:00,4,4,1.0,1.0
2025-06-29 00:00:00+00:00,1,1,,
2025-06-30 00:00:00+00:00,1,1,5.0,3.0
2025-07-01 00:00:00+00:00,3,3,6.0,2.0
2025-07-02 00:00:00+00:00,6,6,9.0,3.0
2025-07-03 00:00:00+00:00,6,6,9.0,2.0
2025-07-04 00:00:00+00:00,6,6,5.0,1.0
2025-07-05 00:00:00+00:00,1,1,,
2025-07-06 00:00:00+00:00,10,8,,
2025-07-07 00:00:00+00:00,2,2,,
2025-07-08 00:00:00+00:00,4,4,32.0,4.0
2025-07-09 00:00:00+00:00,1,1,5.0,3.0
