time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,3,3,4,3
2025-10-13 00:00:00+00:00,1,1,6,4
2025-10-14 00:00:00+00:00,26,6,3,2
2025-10-15 00:00:00+00:00,5,5,4,3
2025-10-16 00:00:00+00:00,15,5,4,2
2025-10-17 00:00:00+00:00,17,8,5,3
2025-10-18 00:00:00+00:00,8,3,1,1
2025-10-19 00:00:00+00:00,1,1,1,1
2025-10-20 00:00:00+00:00,10,5,4,2
2025-10-21 00:00:00+00:00,8,3,2,2
2025-10-22 00:00:00+00:00,16,7,4,2
2025-10-23 00:00:00+00:00,16,13,7,3
2025-10-24 00:00:00+00:00,13,5,8,6
2025-10-25 00:00:00+00:00,14,4,2,2
