referrer,views_total,views_unique
github.com,47,4
Google,46,18
chatgpt.com,14,1
statics.teams.cdn.office.net,7,6
adrian-lison.github.io,7,2
teams.microsoft.com,3,1
DuckDuckGo,2,2
users.chpc.ac.za,2,1
com.google.android.gm,2,1
wise.ethz.ch,1,1
