time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-06 00:00:00+00:00,5,4,4.0,3.0
2025-09-07 00:00:00+00:00,7,7,,
2025-09-08 00:00:00+00:00,1,1,5.0,2.0
2025-09-09 00:00:00+00:00,4,4,9.0,6.0
2025-09-10 00:00:00+00:00,1,1,,
2025-09-11 00:00:00+00:00,4,4,5.0,3.0
2025-09-12 00:00:00+00:00,3,3,4.0,3.0
2025-09-13 00:00:00+00:00,2,2,2.0,2.0
2025-09-14 00:00:00+00:00,1,1,,
2025-09-15 00:00:00+00:00,1,1,5.0,2.0
2025-09-16 00:00:00+00:00,20,9,6.0,5.0
2025-09-17 00:00:00+00:00,5,5,4.0,3.0
2025-09-18 00:00:00+00:00,7,7,2.0,2.0
