time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,24,11,2,2
2026-07-29 00:00:00+00:00,1,1,3,3
2026-07-30 00:00:00+00:00,2,2,5,4
2026-07-31 00:00:00+00:00,1,1,4,3
2026-08-01 00:00:00+00:00,17,8,0,0
2026-08-02 00:00:00+00:00,17,8,0,0
2026-08-03 00:00:00+00:00,1,1,4,3
2026-08-04 00:00:00+00:00,16,6,6,6
2026-08-05 00:00:00+00:00,4,4,6,6
2026-08-06 00:00:00+00:00,16,7,6,4
2026-08-07 00:00:00+00:00,20,7,5,4
2026-08-08 00:00:00+00:00,20,7,2,2
2026-08-09 00:00:00+00:00,2,2,1,1
2026-08-10 00:00:00+00:00,12,2,3,3
