referrer,views_total,views_unique
github.com,36,2
Google,28,6
chatgpt.com,13,1
adrian-lison.github.io,5,1
statics.teams.cdn.office.net,3,2
DuckDuckGo,3,2
teams.microsoft.com,3,1
users.chpc.ac.za,1,1
cdc.gov,1,1
bsse.ethz.ch,1,1
