time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,12,5,2,1
2026-06-10 00:00:00+00:00,15,9,75,5
2026-06-11 00:00:00+00:00,17,6,3,3
2026-06-12 00:00:00+00:00,7,5,1,1
2026-06-13 00:00:00+00:00,11,5,0,0
2026-06-14 00:00:00+00:00,31,10,0,0
2026-06-15 00:00:00+00:00,19,8,1,1
2026-06-16 00:00:00+00:00,14,6,1,1
2026-06-17 00:00:00+00:00,17,7,2,2
2026-06-18 00:00:00+00:00,20,6,1,1
2026-06-19 00:00:00+00:00,35,9,3,3
2026-06-20 00:00:00+00:00,38,9,0,0
2026-06-21 00:00:00+00:00,45,11,0,0
2026-06-22 00:00:00+00:00,25,10,7,5
