time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,19,13,0,0
2026-03-29 00:00:00+00:00,12,7,0,0
2026-03-30 00:00:00+00:00,17,9,7,3
2026-03-31 00:00:00+00:00,13,8,0,0
2026-04-01 00:00:00+00:00,15,6,0,0
2026-04-02 00:00:00+00:00,17,8,8,3
2026-04-03 00:00:00+00:00,13,8,3,2
2026-04-04 00:00:00+00:00,10,5,0,0
2026-04-05 00:00:00+00:00,20,9,0,0
2026-04-06 00:00:00+00:00,11,7,2,2
2026-04-07 00:00:00+00:00,1,1,3,3
2026-04-08 00:00:00+00:00,18,7,2,2
2026-04-09 00:00:00+00:00,10,5,2,2
2026-04-10 00:00:00+00:00,3,2,4,4
