time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,5,2,6.0,3.0
2025-06-05 00:00:00+00:00,1,1,7.0,7.0
2025-06-06 00:00:00+00:00,5,3,1.0,1.0
2025-06-07 00:00:00+00:00,1,1,3.0,2.0
2025-06-08 00:00:00+00:00,1,1,1.0,1.0
2025-06-09 00:00:00+00:00,1,1,,
2025-06-10 00:00:00+00:00,2,2,8.0,3.0
2025-06-11 00:00:00+00:00,3,3,8.0,3.0
2025-06-12 00:00:00+00:00,8,8,1.0,1.0
2025-06-13 00:00:00+00:00,5,5,,
2025-06-14 00:00:00+00:00,1,1,1.0,1.0
2025-06-15 00:00:00+00:00,3,3,3.0,2.0
2025-06-16 00:00:00+00:00,1,1,2.0,2.0
