referrer,views_total,views_unique
Google,64,19
github.com,48,5
chatgpt.com,14,1
adrian-lison.github.io,7,2
statics.teams.cdn.office.net,6,6
teams.microsoft.com,3,1
DuckDuckGo,2,2
users.chpc.ac.za,2,1
com.google.android.gm,2,1
bsse.ethz.ch,1,1
