time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,45,11,0,0
2026-06-22 00:00:00+00:00,25,10,7,5
2026-06-23 00:00:00+00:00,25,10,5,2
2026-06-24 00:00:00+00:00,114,8,0,0
2026-06-25 00:00:00+00:00,38,10,7,5
2026-06-26 00:00:00+00:00,22,9,0,0
2026-06-27 00:00:00+00:00,22,8,1,1
2026-06-28 00:00:00+00:00,4,4,1,1
2026-06-29 00:00:00+00:00,9,4,0,0
2026-06-30 00:00:00+00:00,11,5,0,0
2026-07-01 00:00:00+00:00,3,3,0,0
2026-07-02 00:00:00+00:00,23,10,1,1
2026-07-03 00:00:00+00:00,10,5,3,3
2026-07-04 00:00:00+00:00,23,9,0,0
