referrer,views_total,views_unique
Google,17,5
adrian-lison.github.io,13,1
github.com,11,3
bsse.ethz.ch,1,1
wise.ethz.ch,1,1
cdc.gov,1,1
statics.teams.cdn.office.net,1,1
