time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,14,5,9,9
2026-08-13 00:00:00+00:00,10,4,5,3
2026-08-14 00:00:00+00:00,22,18,11,4
2026-08-15 00:00:00+00:00,794,783,0,0
2026-08-16 00:00:00+00:00,10,5,3,2
2026-08-17 00:00:00+00:00,14,6,4,4
2026-08-18 00:00:00+00:00,2,2,2,2
2026-08-19 00:00:00+00:00,2,2,2,2
2026-08-20 00:00:00+00:00,7,5,29,4
2026-08-21 00:00:00+00:00,5,4,7,5
2026-08-22 00:00:00+00:00,2,2,12,4
2026-08-23 00:00:00+00:00,3,3,1,1
2026-08-24 00:00:00+00:00,5,4,3,3
2026-08-25 00:00:00+00:00,5,3,2,2
